City,Severity1
delhi,3.0
delhi,3.0
delhi,5.0
delhi,5.0
delhi,5.0
vellore,2.0
vellore,2.0
vellore,5.0
delhi,5.0
delhi,5.0
delhi,5.0
delhi,3.0
Kolkata,3.0
Kolkata,2.0
Kolkata,3.0
delhi,5.0
delhi,4.0
delhi,5.0
kolkata,5.0
kolkata,5.0
vellore,5.0
kanpur,3.0
jhansi,3.0
